user_id,full_name,job_title,company_name,email_address,phone_number,address,city,country,birth_date,registration_date,last_login_date,account_status,annual_revenue
54,Collin Miller,CTO,Williams Holdings,fryraymond@example.com,+1-386-566-1889x2414,"Unit 2856 Box 9146
DPO AP 31779",Berlin,IRELAND,1958-06-18,2025-06-12,2025-11-15, Inactive ,$502913
55,Allison Bray,CTO,Miller Inc.,nwilson@example.net,7426102027,"410 Roman Groves
West Jennifershire, SC 10602",cape town,netherlands,12/09/1979,2025-06-12,2025-06-13,ACTIVE,674481.59
56,Andrea Paul,Software Engineer,Dixon Holdings,porterashley@example.com,(241)591-3800,"2208 Walker Gateway Suite 541
Davidton, HI 29754", Stockholm, Egypt ,1995-01-15,2024-10-04,2025-09-09,Active,629006.01
57,Tricia Perez,Project Manager,Jarvis Solutions,djones@example.com,001-945-718-7053x49493,"83206 Jesse Key Apt. 506
Daltonhaven, IA 55527",Amsterdam , Singapore ,09/26/1979,2024-08-28,2025-06-08,INACTIVE,182143.07
58,Scott James,COO,Brown Ltd.,jenniferdavis@example.org,865.471.9182x61990,"6557 Hall Flats Apt. 912
East Shannonmouth, MT 16326",NEW YORK,sweden,1981-11-19,2024-09-08,2025-04-04,ACTIVE,263959.6
59,Tanya Spence,Consultant,Oconnell Consulting,shannonford@example.org,524-790-3521,"442 Stephanie Walk
Hawkinsside, IA 12916", Dubai,netherlands,"Apr 07, 1978",2024-10-21,2025-06-17,Active ,413281.57
60,Christopher Richards,CTO,Lara Ltd.,davidbrown@example.org,(236)351-9941,"15107 Gary Ports Suite 670
Vegaburgh, MI 28644", São Paulo ,Norway ,2000-02-18,2023-06-23,2024-04-09,Active ,648801.17
61,Julie Santana,Sales Manager,Hill PLC,cstephenson@example.net,+1-493-847-6870x146,"806 Castillo Tunnel
Coopershire, NY 42654",paris,UNITED STATES,1974-08-28,2024-09-27,2025-01-21,Active ,234351.65
62,Sarah Lopez,Marketing Specialist,White LLC,carla04@example.org,885.793.2133x4803,"USNS Thompson
FPO AP 42182", Amsterdam, Ireland,1995-02-17,2025-07-21,2025-11-05,Active,287805.08
63,Aaron Morton,IT Specialist,Wolfe Inc., WARNERMICHAEL@EXAMPLE.NET ,001-229-337-8427,"87059 Lindsay Junctions
Port Megan, MD 08307",Madrid ,AUSTRALIA,1956-09-12,07/08/2023,2025-10-13, Inactive ,151080.11
64,Sydney Pennington,Financial Analyst,Willis Technologies,kimmathis@example.com,456-891-5452,"528 Walker Radial Apt. 644
East Jessica, UT 75583",Berlin, United Arab Emirates ,1974-10-24,2023-04-13,2024-11-04,Active,141868.43
65,John Schwartz,Consultant,Gamble Systems,whitelucas@example.net,791.472.5135,"570 Clark Square
West Jonathanville, VA 00668", São Paulo ,egypt,"Dec 25, 1957","Oct 11, 2024","Nov 02, 2025",Active,578832.3
66,Amber Collier,CEO,Kim Technologies,acosta@example.com,(258)761-7932x7104,"52621 Matthew Ridges
Bushchester, SD 22127",Dubai ,Italy,05/20/1985,2023-11-22,23/12/2025, Inactive ,846925.51
67,Daniel Johnson,Financial Analyst,Hamilton Group,garciajamie@example.org,(288)744-4310x69872,"9731 Jamie Route
Tiffanyfort, PR 15640",rome,united arab emirates,1970-09-25,03 Dec 2025,2025-12-19,ACTIVE,"311,636.56"
68,Amber King,COO,Sanders Group,qjacobson@example.org,+1-686-525-6527x0477,"11586 Angela Ville
Cardenaschester, ND 90556",toronto,France ,1998-02-07,2024-11-18,01/05/2025, Active,661637.45
69,Andrea Bright,IT Specialist,Wells Ltd., THOMASMILLER@EXAMPLE.NET ,4894899217,"Unit 3206 Box 1632
DPO AP 34302", Singapore ,NORWAY,1971-04-17,2024-03-14,2024-05-19, Active,422162.34
70,Spencer Caldwell,Marketing Specialist,Acosta PLC,millerangela@example.net,348-370-9986x16229,"8564 Pena Ports
Johnsonview, MO 19356",NEW YORK,india,1985-12-02,"May 10, 2025",2025-08-18, Active ,208650.56
71,Jeffrey Taylor,Research Scientist,Becker Holdings,vwilliams@example.net,607.945.0544,"24754 Jacobs Corners
South Jason, GU 53869",Singapore,South Africa ,1991-12-07,2024-09-03,2025-09-24, Inactive,422091.3
72,Cassandra Obrien,Financial Analyst,Malone Consulting,lori82@example.org,986-228-9023x3030,"PSC 3457, Box 8610
APO AE 49320",Rome ,Singapore,1979-07-30,2024-03-27,2025-08-09, Active ,961861.35
73,Mary Branch,Project Manager,Griffin Solutions,wmatthews@example.com,(541)540-6029,"6800 Buck Rue
New Lauren, IN 33582",São Paulo,SOUTH AFRICA,1985-06-08,2023-12-05,2025-03-28, Active,319630.77
74,Sara Duarte,IT Specialist,Hahn Consulting,rodney65@example.com,637-648-9691x085,"54544 Lopez Path Apt. 096
Erintown, SD 65692",paris,UNITED ARAB EMIRATES,07/02/2004,2023-02-25,16-08-2023,ACTIVE,979943.86
75,Stacey French,Operations Manager,,vsullivan@example.org,001-693-453-8758,"1724 Stacey Isle
East Michaelport, MT 43927",OSLO, Ireland ,1973-11-02,2024-03-09,2025-06-18, Active,52374.67
76,Julie Parker,CEO,Richards Solutions,eyork@example.org,+1-299-491-7381x6846,"6972 Huffman Falls
South Marvinburgh, MD 83666",NEW YORK,South Africa ,1958-06-20,"May 31, 2024",2024-08-23, Active ,582644.06
77,Julie Clark,Data Analyst,Hayes PLC, KATHLEENJACKSON@EXAMPLE.ORG ,512.796.6667x6008,"USNV Sherman
FPO AP 25480",new york, Spain ,1956-07-02,2023-05-21,2025-07-29,active,
78,Jeffery Garner,CEO,Smith Ltd.,jeremywiley@example.com,(616)689-4210,"2575 Frederick Valleys Suite 033
East Jessica, OR 66644",BERLIN,India ,27-11-1963,2024-05-03,2024-09-10, Suspended ,265851.95
79,Brooke Garcia,Sales Representative,Richardson Group,brooksdanielle@example.net,+1-609-901-0016x761,"046 Elaine Groves
South Maria, CT 67555", São Paulo, Germany,1990-11-05,2025-01-25,2025-04-21,inactive,349490.81
80,Rachael Russell,Data Scientist,Wilson Group,glovertyler@example.net,948.535.6420,"3001 Mary Skyway Suite 218
Lake Jenniferview, SD 30799",stockholm, India,1978-01-02,"Aug 10, 2023",2025-03-25, Inactive ,81528.0
81,Jeffrey Mcdaniel,Marketing Specialist,Madden Solutions,steven12@example.org,655-361-1002x2557,"16674 Vaughn Neck Suite 212
Port Erikchester, PW 77931", Madrid ,Germany ,"Apr 11, 1979",11/02/2024,,Inactive ,281033.65
82,David Mata,Marketing Specialist,Carroll Consulting,ywhite@example.com,+1-202-577-1670x145,"Unit 5889 Box 1637
DPO AA 87494",London,denmark,1988-10-06,2023-09-05,2025-11-29,Active ,420827.71
83,Steven Mann,Operations Manager,,smithsarah@example.net,872.817.5354x0838,"7971 West Crest
Mcgeetown, CT 53380", New York,SINGAPORE,1975-10-31,2025-11-02,2025-12-14,Inactive,922207.78
84,Deborah Hayden,IT Specialist,Hawkins Holdings,petersenlatoya@example.net,+1-948-783-7550x3758,"30554 Park Cape
South Donald, VT 97823", Sydney, Egypt ,1990-12-25,2025-07-30,2025-09-08,suspended,228025.07
85,Katie Hall,IT Specialist,Rodriguez Systems,jacobconrad@example.com,973.951.6091,"0808 Roberson Orchard
Lake Beth, VA 17328",mumbai,italy,12-09-1960,2025-09-17,2025-11-16,Active,186102.8
86,Mario Parker,Financial Analyst,Sandoval LLC,william66@example.net,001-634-765-4722x698,"39452 William Square
Jenniferstad, OH 63464",DUBAI,India ,1984-03-08,2024-07-25,30-10-2025,Active ,230676.15
87,Scott Branch,Marketing Manager,Bender Inc.,icraig@example.com,(408)210-6200x34244,"80571 Julia Points Suite 384
South Paulmouth, OH 07552",Riyadh ,Netherlands ,1956-04-05,2025-10-09,2025-11-20,Active ,622053.56
88,Natalie Oliver,CTO,King Group,ogreer@example.net,001-459-389-3347x212,"8422 Smith Mountain Apt. 025
Port Sarahport, NM 75562",Amsterdam,CANADA,1982-08-01,2024-07-19,2024-07-30,ACTIVE,412555.4
89,Nicholas Morris,CEO,Jones Systems,alicia28@example.org,526.988.6153x35554,"Unit 0157 Box 3993
DPO AE 89964",dubai,United States ,09-01-1999,2024-05-07,2025-09-07, Active ,226198.42
90,Guy Carroll,Marketing Specialist,James PLC,cruzamber@example.com,5857887704,"88013 Michelle Manors
East Amandachester, SD 09953",copenhagen,SAUDI ARABIA,22 Mar 1992,19-09-2024,2025-08-25, Active ,469435.98
91,Collin Reynolds,Consultant,Hernandez Systems,clove@example.org,802-848-1934,"5061 Darlene River Apt. 901
Sarahville, LA 90400", Rome , Sweden,1970-05-23,2024-11-08,2025-05-08, Active,350793.95
92,Danielle Schmidt,COO,Miller PLC,qjames@example.org,428.332.6842x4508,"814 Kaitlin Stream Suite 368
East Jack, RI 33628",sydney, Netherlands,"Feb 23, 1965",2024-10-08,2024-12-09, Active,645674.96
93,Randy Tran,HR Manager,White Consulting,yorksarah@example.net,481.541.4139x755,"57759 Steele Drives
Lindseychester, GA 01134",BERLIN, Netherlands ,1970-12-21,2025-12-10,2025-12-30,ACTIVE,200498.66
94,Richard White,Accountant,Floyd Group,xhill@example.org,+1-457-577-5478x12914,"108 Lisa Prairie
Hammondborough, PW 05305", London ,united kingdom,1982-08-27,2023-01-29,10/16/2023, Active,
95,Joseph Chavez,Data Scientist,Stephens Ltd.,jvaldez@example.com,(539)442-7881x6580,"2299 Jill Orchard
Billyfort, IN 08740", Mumbai ,Sweden ,1968-07-30,2025-10-02,2025-10-16,active,249078.73
96,Breanna Oliver,CEO,Young Ltd.,aprilmoody@example.com,870.805.1844x9892,"463 Gomez Ways
Tommyfort, FM 79696", Berlin, Canada,1955-12-13,2023-04-16,2023-12-31,Active ,117658.25
97,Christine Tyler,Marketing Specialist,Macias Inc.,emartin@example.net,+1-943-922-2591x3651,"603 David Ramp
East Crystal, AZ 75509",Stockholm,canada,27 Oct 1962,2023-11-07,04/08/2024, Suspended ,403238.79
98,Veronica Davenport,Research Scientist,Jackson Solutions,zacharysullivan@example.net,+1-404-413-7977x2369,"57991 Nicholas Curve Apt. 038
Serranoville, HI 62874", Dubai, United Arab Emirates,"Oct 21, 1999",2024-04-07,2025-09-25,Active ,393461.57
99,Amy Wright,Software Engineer,Greene Group,davisdonna@example.net,+1-506-986-5086,"9916 Jonathan Trafficway Apt. 149
Scotttown, VT 97972",Amsterdam, Netherlands,23 Apr 1994,05/04/2023,2025-01-18,ACTIVE,328923.15
100,Brandon Adams,Business Analyst,Lane PLC,meyernicholas@example.org,001-756-651-2694x486,"Unit 6368 Box 8725
DPO AP 73234",sydney,United States,1979-05-01,2023-12-22,2025-07-10,Active,278114.73
101,Sheila Burns,Financial Analyst,Hinton Technologies,kim62@example.net,237-421-3865,"27961 Jose Land
New Benjaminfurt, MO 80974",Stockholm , Sweden ,1987-10-12,2024-08-19,2024-09-05,inactive,121691.02
102,Brooke Jackson,IT Specialist,Mitchell PLC,bautistalori@example.net,470.238.4309x8839,"14656 Willis Path
Lake Janeland, OH 37790",Berlin ,South Africa,"Mar 17, 1991",2024-06-25,"Jan 14, 2025",ACTIVE,244152.49
103,Robin Hall,Data Analyst,Hansen Group,michael43@example.net,376.390.4268,"84894 Church Port Suite 357
Mosleytown, NJ 15740",SYDNEY,SWEDEN,1968-04-04,2023-10-19,2024-01-01, Active,257841.37
104,James Romero,Consultant,Reyes Group,ericahall@example.com,(958)780-4341x65182,"37333 Clark Flats Apt. 952
North Samanthafort, RI 01369",Stockholm ,ireland,1993-01-27,2025-06-18,2025-07-20,SUSPENDED,186914.38
105,Charles Gay,Sales Representative,Weaver Technologies,charlesnathan@example.com,894.972.8463x9208,"USS Shaw
FPO AA 90460",london,SINGAPORE,1993-08-24,2025-06-15,2025-07-06,Inactive,292757.53
106,Michelle Washington,Marketing Specialist,Bryant Inc.,wolfesteve@example.net,6034691559,"7955 Victor Fords
Haynesstad, MN 53007",mumbai,united states,"Apr 29, 1969",2023-07-07,2024-02-27,Suspended ,434884.43
107,Mark Hopkins,Marketing Manager,White Group,tiffanyparks@example.org,001-943-486-6322x7026,"Unit 8857 Box 4489
DPO AE 52720",Riyadh ,egypt,1960-06-22,2023-03-24,2025-05-14,Inactive ,1227303.61
108,Caleb Terry,CEO,Martin Ltd.,lisawoods@example.net,775-245-5884,"939 Tiffany Haven Suite 587
Prestonfurt, RI 38056",TORONTO,saudi arabia,08 May 1978,2025-06-11,2025-11-21,Active ,370350.25
109,Selena Duran,IT Specialist,Frye LLC,daniellemcfarland@example.com,+1-899-661-1253x5544,"987 Jackson Walk Apt. 234
East Garrettville, CT 08862",Riyadh,SWEDEN,2001-07-12,2023-11-26,2024-10-29,Inactive ,392497.43
110,Jason Fields,Business Analyst,Kennedy Systems,johnsonrandy@example.org,649-921-6433,"200 Dalton Islands
Mcdonaldside, KY 72399",Oslo,Italy ,1977-06-03,2023-03-17,2024-06-25,Active ,311105.65
111,Richard Cruz,COO,Montes Solutions,brittanybryant@example.net,+1-796-888-4578x3174,"08254 Nichols Spurs Suite 740
Yatesbury, WY 01447", Dubai , Singapore ,1982-06-27,2025-11-19,2025-11-20, Active,85550.33
112,Jade Hayes,Data Analyst,Lopez Consulting, KFOSTER@EXAMPLE.NET ,001-666-834-1638x9448,"24179 Nelson Road
Lopeztown, FL 07006",Amsterdam,Italy,2003-02-21,2025-10-17,12/13/2025,ACTIVE,321721.1
113,Robert Andrews,Data Scientist,Johnson Technologies,campbelldavid@example.com,001-903-212-0735x6475,"46187 James Ville
Lisatown, DE 94175", São Paulo, Spain ,1967-10-28,2025-09-19,2025-10-05,INACTIVE,341861.56
114,Jeffrey Moran,Financial Analyst,Wise Inc.,cwright@example.org,318.637.6452x088,"50313 Nguyen Expressway Suite 916
North Tanya, OR 91039",Berlin ,united arab emirates,1978-11-30,2025-04-15,, Suspended,1838148.69
115,Joseph Alexander,CTO,Carlson Ltd.,kelli32@example.com,495-900-5281,"3065 John Canyon Suite 784
Lopezburgh, ND 46070",Rome ,SINGAPORE,"Jun 27, 1971",2025-10-17,2025-11-24,INACTIVE,286458.03
116,Brandy Herrera,Sales Manager,Mcdonald Technologies, CASEYMOORE@EXAMPLE.COM ,,"87829 Morris Row Suite 118
North Maryberg, HI 04600",São Paulo, Egypt,1965-07-11,2023-10-24,2024-11-20,inactive,404773.58
117,Joseph Drake,Operations Manager,Washington LLC,johnsondarlene@example.com,+1-378-999-4053x91037,"8650 Rice Street
Port Kevinborough, NC 13230",Cairo , Italy,1960-08-01,2024-07-19,2025-09-17,inactive,319880.18
118,Rodney Sparks,Consultant,Hall Group,hlopez@example.net,992.888.6195,"86852 Mahoney Island
Meganchester, WV 83501", Cape Town ,Saudi Arabia ,1976-09-21,2025-09-29,2025-10-19,Active,144628.75
119,Cynthia Fowler,Operations Manager,Swanson Systems,annalewis@example.net,001-645-277-6004x9082,"50488 Clinton Mount
Ericview, MN 76805",amsterdam, Spain ,1967-11-13,2025-02-11,2025-10-03, Active ,729398.84
120,Eric Rivas,CEO,Scott Solutions,christopher69@example.org,001-315-272-7919x4096,"PSC 5566, Box 1390
APO AP 83363", Dublin ,Ireland,1974-05-14,2023-03-31,2024-02-20, Suspended ,554794.54
121,Gene Hopkins,Project Manager,Torres Ltd.,floresannette@example.com,432.406.7998x13646,"086 Miller Parkway Suite 227
South Randall, OK 26204",CAIRO, India ,14/02/1983,2025-10-11,,active,570188.54
122,Jason Taylor,Consultant,Shea Technologies,johnadams@example.com,491-716-6553x55904,"270 James Landing Apt. 110
New Sara, VI 38208",NEW YORK,France ,1956-04-18,24/07/2023,2025-01-13, Active,173412.56
